customer_id,age,tenure_months,monthly_spend,support_calls,complaints,digital_engagement_score,payment_failed_flag,contract_type,product_count,region,churn_probability_true,churn
38,32,89,1464.52,1,0,17.09,0,Monthly,2,Limpopo,0.1865,0
39,64,93,1633.7,2,2,67.29,1,Monthly,1,Gauteng,0.3028,0
40,68,71,1172.99,1,0,36.84,0,Annual,2,KwaZulu-Natal,0.053,0
41,61,113,1345.33,6,1,32.31,0,Monthly,1,Western Cape,0.5215,1
42,72,67,134.22,2,1,46.13,1,Quarterly,3,Western Cape,0.1405,0
43,69,84,1615.46,2,0,54.26,0,Annual,1,KwaZulu-Natal,0.0371,0
44,74,20,249.55,1,1,14.19,0,Monthly,3,Eastern Cape,0.1638,0
45,20,117,1115.79,4,0,70.78,0,Annual,2,Gauteng,0.0408,1
46,54,94,767.0,2,1,88.29,0,Annual,1,Eastern Cape,0.0179,0
47,68,35,1386.3,3,0,27.8,0,Monthly,3,Limpopo,0.3689,1
48,24,99,376.87,1,1,18.04,0,Monthly,1,Eastern Cape,0.1329,0
49,38,113,1744.53,4,0,76.05,0,Quarterly,4,KwaZulu-Natal,0.1566,0
50,26,103,1997.78,4,0,18.35,1,Monthly,4,Western Cape,0.6416,1
51,56,91,450.22,0,2,4.13,0,Monthly,2,KwaZulu-Natal,0.5014,0
52,35,90,305.57,8,0,61.92,0,Quarterly,4,KwaZulu-Natal,0.337,0
53,21,78,406.51,3,1,23.98,0,Monthly,5,Gauteng,0.1266,0
54,42,17,2198.96,2,0,17.18,0,Monthly,3,KwaZulu-Natal,0.3394,1
55,31,18,1344.06,3,0,98.16,0,Monthly,5,Limpopo,0.2145,0
56,67,45,1194.79,0,1,29.19,0,Monthly,4,Gauteng,0.1586,0
57,26,116,311.44,2,0,90.34,0,Monthly,2,Gauteng,0.0437,0
58,43,93,1641.41,2,1,17.82,0,Quarterly,5,Eastern Cape,0.1114,0
59,70,84,2176.6,1,0,81.9,0,Monthly,2,KwaZulu-Natal,0.07,0
60,19,53,2079.06,3,0,50.2,0,Annual,1,Eastern Cape,0.1673,1
61,37,91,1583.83,2,1,7.86,0,Monthly,5,Eastern Cape,0.1114,0
62,45,82,234.43,2,0,73.36,0,Annual,1,Gauteng,0.0238,0
63,64,68,325.37,2,0,89.21,0,Monthly,5,Eastern Cape,0.0393,0
64,24,65,170.81,3,1,16.3,0,Monthly,3,Eastern Cape,0.2381,0
65,61,114,680.82,3,0,72.56,1,Annual,2,Gauteng,0.0387,0
66,25,1,382.37,3,0,44.51,0,Quarterly,1,Gauteng,0.2402,0
67,64,58,687.12,1,1,75.39,0,Monthly,4,Western Cape,0.0744,0
68,52,26,993.39,2,1,71.39,0,Monthly,5,KwaZulu-Natal,0.1892,1
69,31,109,2360.31,3,0,2.66,0,Monthly,1,Western Cape,0.3093,0
70,34,20,1545.42,0,1,17.87,0,Monthly,5,Gauteng,0.5523,1
71,53,116,2095.69,3,1,47.1,0,Monthly,5,Limpopo,0.1487,0
72,67,87,1790.36,1,0,93.36,0,Monthly,5,Eastern Cape,0.0325,0
73,57,10,325.63,1,0,34.21,0,Annual,1,Eastern Cape,0.1518,0
74,21,59,1853.0,0,3,62.89,0,Annual,1,Gauteng,0.0631,0
75,19,75,723.99,2,0,1.21,0,Monthly,5,Eastern Cape,0.3116,0
76,23,41,1615.81,3,1,71.11,0,Annual,4,Western Cape,0.0602,0
77,71,105,885.36,2,1,60.31,0,Monthly,2,Eastern Cape,0.1036,0
78,59,5,2494.3,4,1,71.54,0,Monthly,5,Limpopo,0.3078,0
79,21,65,695.7,1,1,90.47,0,Annual,4,KwaZulu-Natal,0.0069,0
80,71,17,733.87,2,0,14.65,0,Monthly,2,Western Cape,0.2667,0
81,46,22,2330.15,1,0,26.16,0,Monthly,5,KwaZulu-Natal,0.2727,0
82,35,98,110.38,2,1,99.58,0,Monthly,2,KwaZulu-Natal,0.0665,0
83,43,120,1756.89,4,0,15.63,0,Monthly,5,Limpopo,0.1963,0
84,61,109,1827.05,0,1,72.06,0,Monthly,1,Limpopo,0.0819,0
85,51,41,2099.13,3,0,72.51,1,Annual,5,Limpopo,0.1641,0
86,27,93,2437.38,1,1,68.3,0,Monthly,5,Limpopo,0.3016,0
87,53,68,2440.22,2,1,22.74,0,Monthly,5,Western Cape,0.4731,0
88,31,69,209.93,1,0,21.51,0,Monthly,5,Limpopo,0.0527,0
89,48,11,2063.51,2,0,66.63,0,Annual,4,Western Cape,0.0613,0
90,65,56,1633.46,3,1,18.63,0,Monthly,3,Eastern Cape,0.5455,1
91,32,51,1635.99,3,0,66.16,0,Monthly,4,KwaZulu-Natal,0.2864,0
92,25,21,364.46,1,1,49.25,0,Annual,4,Eastern Cape,0.0337,1
93,31,99,1642.96,1,1,38.66,1,Monthly,1,Eastern Cape,0.3396,1
94,40,76,2457.08,3,0,30.02,0,Monthly,5,Gauteng,0.3414,0
95,74,26,2283.96,5,1,94.76,0,Quarterly,4,Eastern Cape,0.3313,0
96,57,115,1125.87,1,0,50.81,0,Monthly,2,Eastern Cape,0.042,0
97,38,19,147.87,3,0,56.13,0,Monthly,5,Gauteng,0.1404,0
98,33,109,937.62,1,0,94.93,0,Monthly,1,Eastern Cape,0.0955,0
99,62,60,2074.66,1,1,65.39,0,Monthly,1,Gauteng,0.2016,0
100,35,71,1768.67,2,2,95.79,0,Annual,2,Western Cape,0.0364,0
101,64,47,1175.39,0,0,10.64,0,Monthly,1,KwaZulu-Natal,0.2455,0
102,70,119,185.0,2,0,84.66,1,Monthly,5,Limpopo,0.0537,0
103,41,71,1095.89,2,0,33.54,0,Annual,3,Eastern Cape,0.039,1
104,43,26,1199.11,1,1,81.05,1,Monthly,3,Western Cape,0.41,0
105,42,40,2324.96,4,0,85.56,0,Monthly,4,KwaZulu-Natal,0.2392,1
106,62,5,1620.66,5,1,27.15,0,Monthly,1,Western Cape,0.8452,1
107,58,21,813.55,2,0,40.88,0,Quarterly,5,Gauteng,0.0606,0
108,46,78,1337.03,1,1,72.6,0,Quarterly,2,Western Cape,0.04,0
109,32,4,211.84,2,1,9.91,0,Monthly,2,Eastern Cape,0.4303,0
110,62,23,2432.79,3,2,75.55,0,Annual,5,Eastern Cape,0.0837,0
111,18,106,932.15,0,0,11.05,0,Monthly,5,Limpopo,0.063,0
112,42,84,1220.78,1,0,91.45,0,Monthly,2,Limpopo,0.0181,0
113,24,15,920.45,5,1,27.63,0,Monthly,1,Eastern Cape,0.6652,0
114,26,114,1722.15,3,1,57.56,0,Annual,4,Western Cape,0.0289,0
115,41,116,1672.47,0,0,11.72,1,Quarterly,4,Eastern Cape,0.0817,1
116,18,109,1802.54,4,2,26.95,0,Annual,4,Western Cape,0.1166,0
117,61,93,706.95,2,0,40.4,0,Quarterly,5,Eastern Cape,0.0396,0
118,25,8,823.39,2,0,48.7,0,Monthly,2,KwaZulu-Natal,0.3737,0
119,41,41,356.87,1,0,0.01,0,Monthly,2,Western Cape,0.1331,0
120,28,112,1656.0,4,1,88.87,1,Monthly,2,Gauteng,0.383,0
121,68,19,147.5,1,1,0.77,1,Monthly,2,Gauteng,0.6615,0
122,34,112,1514.32,1,0,77.37,1,Monthly,2,Limpopo,0.1213,0
123,25,103,2180.75,3,0,47.06,0,Annual,3,KwaZulu-Natal,0.0373,0
124,52,46,2232.54,2,1,52.39,1,Quarterly,5,Gauteng,0.223,1
125,52,28,1150.14,2,0,20.83,0,Monthly,5,Eastern Cape,0.4045,0
126,50,110,1175.29,1,2,60.74,1,Annual,3,Gauteng,0.0832,0
127,22,91,238.57,2,1,53.72,0,Quarterly,4,Eastern Cape,0.0462,0
128,59,68,1693.37,2,0,16.42,0,Monthly,1,KwaZulu-Natal,0.6049,1
129,56,15,2062.09,1,0,23.81,0,Monthly,5,Limpopo,0.2561,0
130,58,99,649.4,2,2,6.69,0,Monthly,5,Gauteng,0.522,1
131,45,37,1082.19,1,0,6.63,0,Monthly,3,Limpopo,0.1312,0
132,24,1,2105.16,3,0,1.38,0,Monthly,5,KwaZulu-Natal,0.4868,0
133,26,67,2198.95,0,0,22.05,0,Annual,5,Western Cape,0.0136,0
134,25,111,645.79,1,0,67.97,0,Monthly,4,KwaZulu-Natal,0.026,0
135,29,24,1398.9,2,1,31.62,0,Annual,3,KwaZulu-Natal,0.1212,0
136,51,27,521.61,3,1,34.27,0,Monthly,5,KwaZulu-Natal,0.2126,0
137,50,40,299.6,3,2,13.19,0,Monthly,2,Western Cape,0.5298,1
138,65,63,2282.25,0,0,57.55,1,Annual,3,Western Cape,0.049,0
139,72,61,2060.24,1,0,34.21,0,Monthly,4,KwaZulu-Natal,0.1541,0
140,40,36,1912.09,2,2,67.63,1,Annual,1,Western Cape,0.2609,0
141,41,98,169.48,0,1,74.15,0,Monthly,5,Eastern Cape,0.0495,0
142,54,93,2117.14,2,1,58.47,0,Annual,2,KwaZulu-Natal,0.039,0
143,52,24,1123.21,3,0,27.61,0,Monthly,2,Gauteng,0.3877,0
144,61,24,888.87,2,1,50.86,0,Monthly,1,Eastern Cape,0.245,0
145,57,106,1388.87,4,0,25.19,1,Quarterly,3,KwaZulu-Natal,0.23,0
146,39,4,273.82,2,1,90.29,0,Annual,4,Gauteng,0.0193,0
147,44,67,1903.78,2,1,76.64,1,Monthly,5,Gauteng,0.2502,0
148,52,34,1476.97,0,1,49.3,0,Annual,5,Limpopo,0.0349,0
149,18,57,507.15,0,1,96.55,0,Quarterly,5,Limpopo,0.0102,0
150,52,49,511.17,2,1,54.68,0,Monthly,2,Gauteng,0.1661,0
151,54,87,501.41,1,0,32.85,0,Monthly,3,KwaZulu-Natal,0.0479,0
152,64,53,189.66,1,0,9.55,1,Monthly,1,KwaZulu-Natal,0.2787,0
153,31,120,1490.11,3,1,54.37,0,Monthly,3,KwaZulu-Natal,0.256,0
154,20,116,2108.85,2,0,86.04,0,Monthly,4,KwaZulu-Natal,0.0263,0
155,18,23,92.87,4,0,86.67,0,Annual,4,Gauteng,0.0234,0
156,22,109,170.06,3,0,60.46,0,Quarterly,1,Western Cape,0.1014,0
157,43,69,1453.29,2,0,39.34,0,Monthly,2,Western Cape,0.2796,0
158,72,95,2057.76,1,2,65.03,0,Monthly,1,KwaZulu-Natal,0.3455,0
159,31,53,850.51,1,0,76.21,0,Annual,4,Limpopo,0.0113,0
160,56,62,906.56,2,1,41.16,1,Monthly,2,Gauteng,0.549,1
161,44,41,1511.05,5,1,47.63,0,Monthly,3,Western Cape,0.5202,1
162,26,57,721.82,4,0,68.06,0,Quarterly,4,Gauteng,0.1398,0
163,32,60,115.19,1,2,87.67,0,Annual,2,Limpopo,0.0254,0
164,32,54,1851.31,0,0,79.1,0,Annual,2,Gauteng,0.0327,0
165,43,70,1582.84,0,1,2.24,0,Annual,5,Limpopo,0.043,0
166,59,101,1472.85,5,0,12.44,0,Annual,3,Limpopo,0.2292,0
167,30,57,1867.13,4,0,85.28,0,Monthly,2,Eastern Cape,0.2131,1
168,68,10,1704.32,2,0,83.38,0,Monthly,1,Limpopo,0.1194,1
169,49,40,554.41,2,0,38.88,0,Quarterly,3,Eastern Cape,0.1068,0
170,56,7,913.58,4,1,58.43,0,Monthly,3,Limpopo,0.4983,0
171,66,103,358.97,3,0,90.58,0,Monthly,4,Limpopo,0.0658,0
172,69,38,368.15,6,1,91.16,0,Monthly,3,Gauteng,0.1793,0
173,49,85,1706.68,0,0,78.31,0,Monthly,3,Eastern Cape,0.0217,0
174,21,61,2153.57,3,1,20.96,0,Monthly,5,Western Cape,0.4172,0
175,47,84,2408.69,1,1,73.03,0,Monthly,3,Western Cape,0.1686,1
176,54,3,1589.45,1,0,10.11,1,Monthly,2,Gauteng,0.4703,1
177,40,51,501.05,1,0,89.39,0,Annual,1,Western Cape,0.0115,0
178,56,86,308.84,5,1,14.91,0,Quarterly,5,Western Cape,0.1495,1
179,62,47,2041.48,6,0,66.23,0,Annual,5,Limpopo,0.1274,0
180,32,68,1467.95,1,0,61.02,0,Monthly,5,KwaZulu-Natal,0.0503,0
181,60,92,1564.8,2,1,77.69,0,Monthly,5,KwaZulu-Natal,0.0667,0
182,46,76,1964.58,0,3,55.16,0,Monthly,4,Western Cape,0.2699,0
183,53,38,1773.03,0,2,5.96,0,Quarterly,5,Gauteng,0.159,0
184,30,115,2094.42,4,1,70.58,0,Annual,4,Gauteng,0.1108,1
185,49,36,187.72,2,1,38.32,0,Monthly,4,Eastern Cape,0.2707,1
186,24,111,1881.43,1,3,32.03,0,Annual,3,Gauteng,0.0888,0
187,68,41,2134.59,2,1,99.17,0,Monthly,1,Gauteng,0.1627,0
188,39,69,751.03,0,0,59.04,0,Monthly,3,Limpopo,0.0294,0
189,45,13,1619.1,0,2,71.07,0,Quarterly,4,Limpopo,0.1959,0
190,19,87,819.7,2,0,52.63,0,Monthly,3,Western Cape,0.0454,0
191,59,58,2397.03,2,0,77.0,0,Monthly,2,Gauteng,0.1614,0
192,62,50,131.89,0,1,75.21,0,Monthly,5,KwaZulu-Natal,0.0174,0
193,74,30,1470.49,2,0,65.71,1,Annual,5,Gauteng,0.0842,0
194,70,62,457.93,1,0,99.77,0,Quarterly,4,Gauteng,0.0198,0
195,23,101,1794.94,3,0,45.98,0,Monthly,3,Western Cape,0.1307,0
196,45,25,480.93,4,1,70.62,0,Annual,2,KwaZulu-Natal,0.1021,0
197,45,112,626.69,4,3,79.78,0,Monthly,2,Western Cape,0.3638,1
198,61,27,1261.21,2,0,37.6,0,Monthly,2,Gauteng,0.2836,0
199,61,51,2291.35,4,0,45.72,0,Monthly,4,KwaZulu-Natal,0.4185,1
200,37,78,568.7,4,0,96.92,0,Annual,3,Gauteng,0.0087,0
201,47,57,403.39,2,1,3.23,0,Monthly,2,Western Cape,0.3679,0
202,28,112,1909.49,2,1,33.53,0,Quarterly,2,Western Cape,0.1699,1
203,72,47,1276.52,0,0,48.62,0,Annual,3,Limpopo,0.0407,0
204,45,118,2283.87,4,0,0.15,0,Annual,3,KwaZulu-Natal,0.1222,0
205,42,100,409.21,3,1,89.91,0,Monthly,5,Limpopo,0.0426,0
206,56,39,1632.52,2,1,28.62,0,Annual,1,KwaZulu-Natal,0.1461,0
207,50,16,620.55,3,0,25.77,0,Quarterly,1,Eastern Cape,0.47,1
208,18,120,434.06,3,0,82.03,0,Monthly,2,KwaZulu-Natal,0.0153,0
209,74,22,1724.4,2,0,27.8,0,Monthly,3,Gauteng,0.376,0
210,44,85,1504.53,6,2,65.76,0,Quarterly,5,KwaZulu-Natal,0.2867,0
211,74,54,1899.33,1,1,82.15,0,Monthly,4,Limpopo,0.1092,0
212,69,21,808.18,2,1,79.25,0,Monthly,1,Western Cape,0.1964,0
213,30,72,1147.53,2,1,78.2,0,Quarterly,1,Western Cape,0.1001,0
214,58,113,1043.41,2,1,8.86,0,Annual,3,KwaZulu-Natal,0.0748,1
215,20,16,2461.02,3,2,7.98,0,Monthly,4,Eastern Cape,0.7145,1
216,56,59,766.01,2,0,30.68,0,Monthly,1,Western Cape,0.2092,0
217,23,119,772.3,3,0,3.59,0,Quarterly,5,Western Cape,0.0737,0
218,25,31,918.64,1,1,50.04,0,Quarterly,1,Western Cape,0.113,0
219,44,42,1433.26,1,1,39.48,0,Annual,3,Eastern Cape,0.0948,0
220,26,74,668.19,0,0,55.7,1,Quarterly,3,Limpopo,0.0842,0
221,54,32,2292.46,6,0,29.88,0,Quarterly,4,KwaZulu-Natal,0.3763,1
222,50,59,700.93,2,0,48.58,0,Annual,1,Eastern Cape,0.0254,0
223,68,34,2244.75,6,0,33.47,0,Monthly,4,KwaZulu-Natal,0.469,1
224,59,9,303.51,2,0,19.52,0,Monthly,1,Gauteng,0.3408,1
225,61,81,1658.58,1,0,64.94,0,Quarterly,2,KwaZulu-Natal,0.0607,0
226,41,11,2272.11,1,1,67.34,1,Monthly,1,Western Cape,0.7629,1
227,32,96,463.44,0,1,82.92,0,Monthly,3,Eastern Cape,0.0321,0
228,71,10,2422.4,2,1,87.48,0,Monthly,3,Eastern Cape,0.2427,0
229,49,86,1159.56,2,1,70.45,0,Quarterly,2,Limpopo,0.1211,0
230,49,17,2367.0,5,0,68.75,0,Annual,1,Gauteng,0.1458,1
231,41,68,1708.21,1,0,5.67,0,Monthly,1,Limpopo,0.2352,1
232,58,48,788.89,1,0,10.98,0,Monthly,3,Limpopo,0.127,0
233,69,52,511.34,2,2,81.26,0,Monthly,2,Gauteng,0.0537,0
234,66,111,794.15,2,0,23.3,0,Quarterly,3,Western Cape,0.0737,0
235,66,25,277.89,2,1,35.56,1,Monthly,2,Eastern Cape,0.6522,1
236,69,21,402.48,0,0,14.53,1,Annual,3,KwaZulu-Natal,0.1402,1
237,29,101,306.42,3,2,19.52,1,Monthly,5,Gauteng,0.6417,0
238,56,102,1086.21,3,0,77.54,0,Monthly,1,Limpopo,0.1911,0
239,19,113,1999.17,3,1,26.19,1,Monthly,4,KwaZulu-Natal,0.444,1
240,20,65,396.39,1,0,44.9,0,Monthly,5,Gauteng,0.0805,0
241,66,63,369.29,3,0,15.17,0,Annual,3,Gauteng,0.0496,0
242,54,89,1626.4,1,1,67.79,0,Annual,2,Western Cape,0.0247,0
243,66,51,533.1,2,3,72.83,0,Monthly,4,Western Cape,0.173,0
244,73,36,289.14,2,0,36.17,0,Annual,2,Eastern Cape,0.0426,0
245,34,81,458.78,1,2,78.47,0,Monthly,2,Eastern Cape,0.1505,0
246,66,105,2313.14,5,1,23.99,1,Monthly,1,KwaZulu-Natal,0.9077,1
247,19,88,2062.6,1,1,69.19,0,Annual,3,Eastern Cape,0.0514,0
248,19,66,917.46,2,0,73.0,0,Monthly,1,Gauteng,0.0792,0
249,45,104,1656.76,1,0,96.87,0,Monthly,2,Gauteng,0.0259,0
250,71,15,1366.33,4,0,23.23,0,Monthly,1,Gauteng,0.634,1
251,40,96,1708.95,2,2,9.37,0,Monthly,5,Gauteng,0.4465,0
252,54,39,1722.54,1,2,26.3,0,Monthly,2,Western Cape,0.6442,0
253,49,70,1590.4,1,1,12.29,0,Annual,2,Gauteng,0.0919,0
254,50,1,701.95,1,0,16.97,0,Monthly,5,Gauteng,0.2089,0
255,18,111,145.57,3,0,33.41,1,Monthly,2,Gauteng,0.3052,0
256,36,23,1166.14,1,3,41.4,0,Monthly,4,Limpopo,0.3008,1
257,19,39,2232.89,1,0,90.37,0,Monthly,4,KwaZulu-Natal,0.1025,0
258,70,57,1445.27,3,1,19.56,1,Annual,3,KwaZulu-Natal,0.4082,1
259,61,81,2089.36,3,0,97.18,1,Annual,3,Gauteng,0.0737,0
260,43,34,2479.48,2,0,81.02,1,Annual,1,Gauteng,0.1629,1
261,49,41,450.86,0,1,88.15,0,Monthly,1,KwaZulu-Natal,0.2752,0
262,23,93,1744.86,1,0,92.94,0,Annual,5,Eastern Cape,0.0189,0
263,49,73,1702.02,2,0,75.32,0,Monthly,5,Limpopo,0.0644,0
264,72,13,2450.89,1,2,78.88,0,Monthly,2,Limpopo,0.4292,1
265,21,70,2464.72,0,1,43.78,0,Annual,3,Eastern Cape,0.0866,0
266,72,6,1732.36,0,1,51.05,0,Monthly,3,Gauteng,0.2566,0
267,28,84,646.86,0,1,93.25,0,Monthly,3,KwaZulu-Natal,0.07,0
268,73,52,2006.46,2,0,37.83,1,Annual,3,Limpopo,0.0874,1
269,34,117,312.22,0,0,4.19,1,Annual,1,Eastern Cape,0.0515,0
270,55,3,1962.71,0,0,76.28,0,Monthly,4,Eastern Cape,0.1591,0
271,41,81,2279.98,5,0,57.32,0,Annual,5,Western Cape,0.0861,0
272,22,63,987.94,3,0,81.49,0,Annual,5,Eastern Cape,0.0076,0
273,69,49,1595.06,1,1,7.56,0,Annual,3,Western Cape,0.0683,0
274,51,76,1103.85,0,0,62.12,0,Monthly,3,Western Cape,0.0203,0
275,23,112,1122.52,2,1,24.77,0,Quarterly,1,Limpopo,0.1156,0
276,39,47,810.41,0,0,90.33,0,Annual,1,Gauteng,0.0071,0
277,28,109,1917.22,1,0,10.99,0,Quarterly,5,Gauteng,0.0849,0
278,65,55,2343.63,1,0,84.31,0,Quarterly,3,Eastern Cape,0.0793,0
279,33,64,2354.84,2,1,8.86,0,Monthly,3,KwaZulu-Natal,0.4783,0
280,50,65,478.21,2,0,2.51,0,Monthly,5,KwaZulu-Natal,0.1391,0
281,26,81,2193.12,3,1,23.51,0,Annual,1,Western Cape,0.2949,1
282,23,67,1856.71,2,1,33.3,1,Monthly,5,Eastern Cape,0.3327,0
283,33,90,669.45,2,0,62.65,0,Monthly,1,Eastern Cape,0.0408,0
284,46,15,214.85,2,0,13.17,1,Annual,1,Gauteng,0.2841,0
285,20,100,706.59,0,2,43.73,0,Monthly,1,KwaZulu-Natal,0.1546,0
286,37,32,2284.91,2,0,20.43,0,Monthly,3,Limpopo,0.2732,1
287,53,96,1601.29,0,0,85.53,0,Monthly,5,Eastern Cape,0.0319,0
288,36,68,1816.58,0,1,4.5,0,Quarterly,1,Eastern Cape,0.1368,0
289,43,18,680.02,4,1,35.59,0,Annual,4,Gauteng,0.0851,0
290,20,113,1812.5,2,0,63.14,0,Quarterly,1,Limpopo,0.0241,0
291,36,83,118.9,3,0,91.31,0,Monthly,1,Limpopo,0.0711,0
292,37,43,969.54,4,0,86.8,0,Annual,1,Limpopo,0.1065,1
293,49,116,1585.55,4,0,89.52,0,Monthly,2,Limpopo,0.0733,0
294,24,35,407.94,1,0,6.29,1,Monthly,4,KwaZulu-Natal,0.2488,0
295,69,104,2066.36,3,0,84.09,0,Monthly,3,Western Cape,0.183,0
296,58,78,625.83,1,0,77.99,0,Annual,5,Limpopo,0.0081,0
297,50,58,1648.09,3,2,90.24,0,Monthly,5,Western Cape,0.4241,0
298,57,33,1042.73,1,1,31.16,1,Quarterly,5,Western Cape,0.2582,0
299,56,14,1510.31,2,1,91.18,0,Monthly,3,Gauteng,0.2226,0
300,35,34,313.25,3,1,40.26,0,Monthly,1,Limpopo,0.544,1
301,57,61,91.44,1,0,63.41,1,Annual,4,KwaZulu-Natal,0.0223,0
302,18,119,2278.43,4,0,42.42,0,Quarterly,5,Gauteng,0.1063,0
303,28,4,710.59,2,1,42.76,0,Annual,2,Gauteng,0.0369,0
304,45,88,2058.21,0,0,54.66,0,Monthly,2,Western Cape,0.1851,0
305,74,59,2498.41,1,0,35.59,0,Annual,4,Eastern Cape,0.0639,0
306,42,29,568.01,0,0,79.27,0,Annual,5,KwaZulu-Natal,0.0074,0
307,67,83,699.67,1,0,63.36,1,Monthly,1,Limpopo,0.2492,0
308,40,6,1674.01,4,0,68.98,1,Quarterly,5,Limpopo,0.2113,0
309,48,97,2415.35,2,0,23.1,0,Annual,1,KwaZulu-Natal,0.0746,0
310,47,49,2293.75,2,0,96.96,0,Annual,5,Limpopo,0.0239,0
311,59,40,1282.05,1,1,66.02,0,Monthly,2,Eastern Cape,0.215,0
312,52,83,1998.02,1,0,19.72,0,Quarterly,3,Eastern Cape,0.156,0
313,24,117,382.58,4,1,75.05,0,Annual,4,Limpopo,0.0205,0
314,33,65,2444.72,4,1,17.37,0,Monthly,1,Gauteng,0.764,1
315,43,69,2412.67,1,1,6.34,0,Quarterly,3,Limpopo,0.1815,1
316,65,27,451.14,4,0,52.76,0,Annual,1,Limpopo,0.1507,0
317,74,80,783.59,0,0,55.35,0,Annual,4,KwaZulu-Natal,0.0071,0
318,69,6,295.38,2,0,18.9,1,Annual,3,Eastern Cape,0.1757,1
319,66,104,715.71,0,0,34.84,0,Monthly,3,Gauteng,0.0363,0
320,19,13,2049.09,2,1,94.58,0,Annual,4,KwaZulu-Natal,0.0494,0
321,18,112,976.87,1,0,28.5,0,Quarterly,4,KwaZulu-Natal,0.0438,0
322,65,64,266.57,3,0,15.56,0,Monthly,1,Gauteng,0.3391,0
323,29,62,888.45,3,0,99.26,0,Quarterly,3,Gauteng,0.0632,0
324,22,99,2454.39,0,0,30.23,0,Annual,4,KwaZulu-Natal,0.0317,0
325,54,19,1592.72,2,0,68.03,0,Monthly,1,Limpopo,0.202,0
326,49,76,1069.59,0,2,23.16,0,Annual,5,Gauteng,0.0517,0
327,72,80,458.02,2,0,55.01,1,Annual,4,Western Cape,0.0345,0
328,26,43,2466.13,1,0,38.63,0,Monthly,3,Gauteng,0.2481,0
329,58,74,2061.08,3,1,96.16,0,Annual,5,KwaZulu-Natal,0.0384,0
330,52,89,739.62,2,1,43.28,0,Annual,4,Western Cape,0.0141,0
331,36,20,221.67,1,2,58.42,0,Monthly,2,KwaZulu-Natal,0.1209,0
